"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"1134009" "Head (public relations)" "1134009" "Head (public relations)"
"1134010" "Head of public affairs" "1134010" "Head of public affairs"
"1134011" "Head of public relations" "1134011" "Head of public relations"
"1134012" "Manager (public relations)" "1134012" "Manager (public relations)"
"1134013" "Manager (advertising)" "1134013" "Manager (advertising)"
"1134014" "Manager, account (advertising)" "1134014" "Manager, account (advertising)"
"1134015" "Manager, account, advertising" "1134015" "Manager, account, advertising"
"1134016" "Manager, advertisement" "1134016" "Manager, advertisement"
"1134017" "Manager, advertising" "1134017" "Manager, advertising"
"1134018" "Manager, affairs, public" "1134018" "Manager, affairs, public"
"1134019" "Manager, appeal" "1134019" "Manager, appeal"
"1134020" "Manager, appeals" "1134020" "Manager, appeals"
"1134021" "Manager, campaign" "1134021" "Manager, campaign"
"1134022" "Manager, fundraising" "1134022" "Manager, fundraising"
"1134023" "Manager, lottery" "1134023" "Manager, lottery"
"1134024" "Manager, media" "1134024" "Manager, media"
"1134025" "Manager, portfolio (advertising)" "1134025" "Manager, portfolio (advertising)"
"1134026" "Manager, press (advertising)" "1134026" "Manager, press (advertising)"
"1134027" "Manager, production (advertising)" "1134027" "Manager, production (advertising)"
"1134028" "Manager, projects (advertising)" "1134028" "Manager, projects (advertising)"
"1134029" "Manager, publicity" "1134029" "Manager, publicity"
"1134030" "Manager, raising, fund" "1134030" "Manager, raising, fund"
"1134031" "Manager, relations, public" "1134031" "Manager, relations, public"
"1134032" "Manager, tourism" "1134032" "Manager, tourism"
"1134033" "Manager, traffic (advertising)" "1134033" "Manager, traffic (advertising)"
"1134034" "Owner (advertising agency)" "1134034" "Owner (advertising agency)"
"1135" "Personnel, training and industrial relations managers" "1135" "Personnel, training and industrial relations managers"
"1135001" "Director of communications" "1135001" "Director of communications"
"1135002" "Director of human resources" "1135002" "Director of human resources"
"1135003" "Director of personnel" "1135003" "Director of personnel"
"1135004" "Director of training" "1135004" "Director of training"
"1135005" "Director, development, management" "1135005" "Director, development, management"
"1135006" "Director, personnel" "1135006" "Director, personnel"
"1135007" "Director, recruitment" "1135007" "Director, recruitment"
"1135008" "Director, resources, human" "1135008" "Director, resources, human"
"1135009" "Director, training" "1135009" "Director, training"
"1135010" "Manager (recruitment agency)" "1135010" "Manager (recruitment agency)"
"1135011" "Manager (training establishment)" "1135011" "Manager (training establishment)"
"1135012" "Manager (vocational training)" "1135012" "Manager (vocational training)"
"1135013" "Manager, NVQ" "1135013" "Manager, NVQ"
"1135014" "Manager, account (recruitment agency)" "1135014" "Manager, account (recruitment agency)"
"1135015" "Manager, centre, assessment" "1135015" "Manager, centre, assessment"
"1135016" "Manager, centre, skills" "1135016" "Manager, centre, skills"
"1135017" "Manager, centre, training" "1135017" "Manager, centre, training"
"1135018" "Manager, development, employee" "1135018" "Manager, development, employee"
"1135019" "Manager, development, self" "1135019" "Manager, development, self"
"1135020" "Manager, development, training" "1135020" "Manager, development, training"
"1135021" "Manager, o and m" "1135021" "Manager, o and m"
"1135022" "Manager, organisation and efficiency" "1135022" "Manager, organisation and efficiency"
"1135023" "Manager, organisation and methods" "1135023" "Manager, organisation and methods"
"1135024" "Manager, personnel" "1135024" "Manager, personnel"
"1135025" "Manager, personnel and training" "1135025" "Manager, personnel and training"
"1135026" "Manager, recruitment" "1135026" "Manager, recruitment"
"1135027" "Manager, relations, employee" "1135027" "Manager, relations, employee"
"1135028" "Manager, relations, industrial" "1135028" "Manager, relations, industrial"
"1135029" "Manager, research, operational" "1135029" "Manager, research, operational"
"1135030" "Manager, resources, human" "1135030" "Manager, resources, human"
"1135031" "Manager, services, management" "1135031" "Manager, services, management"
"1135032" "Manager, staff" "1135032" "Manager, staff"
"1135033" "Manager, study, works" "1135033" "Manager, study, works"
"1135034" "Manager, training" "1135034" "Manager, training"
"1135035" "Manager, training and development" "1135035" "Manager, training and development"
"1135036" "Manager, unit, NVQ" "1135036" "Manager, unit, NVQ"
"1135037" "Owner (employment agency)" "1135037" "Owner (employment agency)"
"1135038" "Owner (recruitment agency)" "1135038" "Owner (recruitment agency)"
"1135039" "Owner, agency, employment" "1135039" "Owner, agency, employment"
"1136" "Information and communication technology managers" "1136" "Information and communication technology managers"
"1136001" "Director (computing)" "1136001" "Director (computing)"
"1136002" "Director of IT" "1136002" "Director of IT"
"1136003" "Director of communications (computing)" "1136003" "Director of communications (computing)"
"1136004" "Director, IT" "1136004" "Director, IT"
"1136005" "Head of IT" "1136005" "Head of IT"
"1136006" "Head of computer services" "1136006" "Head of computer services"
"1136007" "Manager (computing)" "1136007" "Manager (computing)"
"1136008" "Manager (computer services)" "1136008" "Manager (computer services)"
"1136009" "Manager (information systems)" "1136009" "Manager (information systems)"
"1136010" "Manager (software company)" "1136010" "Manager (software company)"
"1136011" "Manager (telecommunications services)" "1136011" "Manager (telecommunications services)"
"1136012" "Manager, CAD" "1136012" "Manager, CAD"
"1136013" "Manager, IT" "1136013" "Manager, IT"
"1136014" "Manager, MIS" "1136014" "Manager, MIS"
"1136015" "Manager, Telecom, British" "1136015" "Manager, Telecom, British"
"1136016" "Manager, administration, computer" "1136016" "Manager, administration, computer"
"1136017" "Manager, applications (computing)" "1136017" "Manager, applications (computing)"
"1136018" "Manager, assurance, quality, systems" "1136018" "Manager, assurance, quality, systems"
"1136019" "Manager, base, data" "1136019" "Manager, base, data"
"1136020" "Manager, capture, data" "1136020" "Manager, capture, data"
"1136021" "Manager, centre, data" "1136021" "Manager, centre, data"
"1136022" "Manager, communications (computing)" "1136022" "Manager, communications (computing)"
"1136023" "Manager, communications, data" "1136023" "Manager, communications, data"
"1136024" "Manager, computer" "1136024" "Manager, computer"
"1136025" "Manager, development (computing)" "1136025" "Manager, development (computing)"
"1136026" "Manager, development, IT" "1136026" "Manager, development, IT"
"1136027" "Manager, development, software" "1136027" "Manager, development, software"
"1136028" "Manager, development, systems" "1136028" "Manager, development, systems"
"1136029" "Manager, engineering, system (computing)" "1136029" "Manager, engineering, system (computing)"
"1136030" "Manager, information" "1136030" "Manager, information"
"1136031" "Manager, information (computing)" "1136031" "Manager, information (computing)"
"1136032" "Manager, installation, computer" "1136032" "Manager, installation, computer"
"1136033" "Manager, intranet" "1136033" "Manager, intranet"
"1136034" "Manager, network" "1136034" "Manager, network"
"1136035" "Manager, networking" "1136035" "Manager, networking"
"1136036" "Manager, operations, computer" "1136036" "Manager, operations, computer"
"1136037" "Manager, processing, data" "1136037" "Manager, processing, data"
"1136038" "Manager, production (computing)" "1136038" "Manager, production (computing)"
"1136039" "Manager, programme (computing)" "1136039" "Manager, programme (computing)"
"1136040" "Manager, programming" "1136040" "Manager, programming"
"1136041" "Manager, project (computing)" "1136041" "Manager, project (computing)"
"1136042" "Manager, project (telecommunications)" "1136042" "Manager, project (telecommunications)"
"1136043" "Manager, project, IT" "1136043" "Manager, project, IT"
"1136044" "Manager, project, development, software" "1136044" "Manager, project, development, software"
"1136045" "Manager, service, computer" "1136045" "Manager, service, computer"
"1136046" "Manager, services (computing)" "1136046" "Manager, services (computing)"
"1136047" "Manager, services, client (computing)" "1136047" "Manager, services, client (computing)"
"1136048" "Manager, services, computer" "1136048" "Manager, services, computer"
"1136049" "Manager, services, network" "1136049" "Manager, services, network"
"1136050" "Manager, software" "1136050" "Manager, software"
"1136051" "Manager, support (computing)" "1136051" "Manager, support (computing)"
"1136052" "Manager, support, IT" "1136052" "Manager, support, IT"
"1136053" "Manager, support, PC" "1136053" "Manager, support, PC"
"1136054" "Manager, support, desktop" "1136054" "Manager, support, desktop"
"1136055" "Manager, support, systems" "1136055" "Manager, support, systems"
"1136056" "Manager, support, technical (computing)" "1136056" "Manager, support, technical (computing)"
"1136057" "Manager, system, network, computer" "1136057" "Manager, system, network, computer"
"1136058" "Manager, systems" "1136058" "Manager, systems"
"1136059" "Manager, systems, business" "1136059" "Manager, systems, business"
"1136060" "Manager, technical (computing)" "1136060" "Manager, technical (computing)"
"1136061" "Manager, technical, computer" "1136061" "Manager, technical, computer"
"1136062" "Manager, technology, information" "1136062" "Manager, technology, information"
"1136063" "Manager, telecommunications" "1136063" "Manager, telecommunications"
"1136064" "Manager, test (computing)" "1136064" "Manager, test (computing)"
"1136065" "Manager, transmission (computing)" "1136065" "Manager, transmission (computing)"
"1136066" "Manager, validation (computing)" "1136066" "Manager, validation (computing)"
"1136067" "Owner (computer services)" "1136067" "Owner (computer services)"
"1137" "Research and development managers" "1137" "Research and development managers"
"1137001" "Director (research and development)" "1137001" "Director (research and development)"
"1137002" "Director of research (biological science)" "1137002" "Director of research (biological science)"
"1137003" "Director of research (chemistry)" "1137003" "Director of research (chemistry)"
"1137004" "Director of research (physical science)" "1137004" "Director of research (physical science)"
"1137005" "Head (research and development)" "1137005" "Head (research and development)"
"1137006" "Manager (research and development)" "1137006" "Manager (research and development)"
"1137007" "Manager of field trials (NIAB)" "1137007" "Manager of field trials (NIAB)"
"1137008" "Manager, creative (research and development)" "1137008" "Manager, creative (research and development)"
"1137009" "Manager, design" "1137009" "Manager, design"
"1137010" "Manager, development (research and development)" "1137010" "Manager, development (research and development)"
"1137011" "Manager, laboratory" "1137011" "Manager, laboratory"
"1137012" "Manager, product (research and development)" "1137012" "Manager, product (research and development)"
"1137013" "Manager, project (research and development)" "1137013" "Manager, project (research and development)"
"1137014" "Manager, research (zoological)" "1137014" "Manager, research (zoological)"
"1137015" "Manager, research (agricultural)" "1137015" "Manager, research (agricultural)"
"1137016" "Manager, research (biochemical)" "1137016" "Manager, research (biochemical)"
"1137017" "Manager, research (botanical)" "1137017" "Manager, research (botanical)"
"1137018" "Manager, research (engineering, electrical)" "1137018" "Manager, research (engineering, electrical)"
"1137019" "Manager, research (engineering, electronic)" "1137019" "Manager, research (engineering, electronic)"
"1137020" "Manager, research (engineering, mechanical)" "1137020" "Manager, research (engineering, mechanical)"
